episode,step_in_ep,global_step,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,distance
0,0,0,-0.4094029664993286,0.010670483112335205,0.677807092666626,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.7821406126022339
0,1,1,-0.37151703238487244,0.051981858909130096,0.6984586715698242,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.7865623235702515
0,2,2,-0.31451791524887085,0.08168376237154007,0.7221369743347168,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.7819752097129822
0,3,3,-0.2471308410167694,0.09655437618494034,0.7433527112007141,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.7698096036911011
0,4,4,-0.1710878610610962,0.093407541513443,0.7590147256851196,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.7481127977371216
0,5,5,-0.09095823019742966,0.07025367766618729,0.7656163573265076,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.7160760164260864
0,6,6,-0.014405278488993645,0.028030917048454285,0.7597203850746155,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.6742268204689026
0,7,7,0.05201641842722893,-0.03038616105914116,0.7402225136756897,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.6241133809089661
0,8,8,0.10362428426742554,-0.10082069039344788,0.7058599591255188,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.5663489699363708
0,9,9,0.13590839505195618,-0.1765775978565216,0.6575331091880798,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.5034769177436829
0,10,10,0.15156617760658264,-0.24859370291233063,0.5974702835083008,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.43883049488067627
0,11,11,0.1613173931837082,-0.30649498105049133,0.5295029282569885,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.3761816918849945
0,12,12,0.16924379765987396,-0.34927210211753845,0.45584189891815186,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.31593936681747437
0,13,13,0.1729845255613327,-0.3721539378166199,0.39087069034576416,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.2664865553379059
0,14,14,0.1736072450876236,-0.37954339385032654,0.3444878160953522,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.2316676527261734
0,15,15,0.16999542713165283,-0.3812320828437805,0.30847617983818054,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.20424270629882812
0,16,16,0.16446253657341003,-0.37963420152664185,0.27914249897003174,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.18134497106075287
0,17,17,0.15717388689517975,-0.3761315643787384,0.2558286786079407,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.1622689664363861
0,18,18,0.14882329106330872,-0.3714762330055237,0.236819326877594,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.14589521288871765
0,19,19,0.13961836695671082,-0.3662085235118866,0.2211158275604248,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.13173338770866394
0,20,20,0.1321810930967331,-0.35952603816986084,0.208438441157341,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.11905969679355621
0,21,21,0.1244349554181099,-0.35261911153793335,0.19763590395450592,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.10772069543600082
0,22,22,0.11798026412725449,-0.3454607427120209,0.1880858987569809,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.09751363098621368
0,23,23,0.11211401969194412,-0.3386935591697693,0.17977844178676605,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.08884543180465698
0,24,24,0.10701318830251694,-0.33228474855422974,0.17270846664905548,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.08155273646116257
0,25,25,0.10251830518245697,-0.32636401057243347,0.1667923629283905,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.07558608800172806
0,26,26,0.098601795732975,-0.32091498374938965,0.16192130744457245,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.07074141502380371
0,27,27,0.09518606960773468,-0.3159320652484894,0.15796518325805664,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.06683898717164993
0,28,28,0.09221859276294708,-0.3113730847835541,0.15479476749897003,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.06368199735879898
0,29,29,0.08963730931282043,-0.3071993291378021,0.15228724479675293,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.06111005321145058
0,30,30,0.087389275431633,-0.3033706843852997,0.1503363847732544,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05899018794298172
0,31,31,0.08542557805776596,-0.29985228180885315,0.14884862303733826,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.0572216771543026
0,32,32,0.08370381593704224,-0.2966116964817047,0.1477450281381607,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05572742596268654
0,33,33,0.08218500763177872,-0.2936182916164398,0.14695797860622406,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05445047840476036
0,34,34,0.08083526045084,-0.2908436954021454,0.1464317888021469,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05334877967834473
0,35,35,0.07962491363286972,-0.2882627546787262,0.14611996710300446,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.052392710000276566
0,36,36,0.07852975279092789,-0.285853773355484,0.14598432183265686,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.0515609011054039
0,37,37,0.07786673307418823,-0.28397050499916077,0.14607274532318115,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.050802282989025116
0,38,38,0.07780823111534119,-0.28300294280052185,0.14639002084732056,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.050155241042375565
0,39,39,0.07792604714632034,-0.2825409173965454,0.14677301049232483,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.04967948794364929
0,40,40,0.07825528085231781,-0.2825036942958832,0.1472741812467575,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.04927889257669449
0,41,41,0.0786828100681305,-0.2828449308872223,0.14779920876026154,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.04904012754559517
0,42,42,0.07916632294654846,-0.2834493815898895,0.1483323723077774,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.04893741384148598
0,43,43,0.07965435832738876,-0.28424179553985596,0.14882509410381317,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.04898194223642349
0,44,44,0.08012375980615616,-0.2851562798023224,0.1492902934551239,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.04915040358901024
0,45,45,0.08055590093135834,-0.2861371636390686,0.14970800280570984,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.04942573234438896
0,46,46,0.08094287663698196,-0.2871398329734802,0.1500854790210724,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.049780379980802536
0,47,47,0.0812821313738823,-0.28813084959983826,0.15041910111904144,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05019040405750275
0,48,48,0.08157546073198318,-0.28908753395080566,0.1507202386856079,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.0506320595741272
0,49,49,0.08182602375745773,-0.28999486565589905,0.15099158883094788,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05108756199479103
0,50,50,0.08203839510679245,-0.29084452986717224,0.15124249458312988,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05154205858707428
0,51,51,0.08221665769815445,-0.29163235425949097,0.15147553384304047,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05198581516742706
0,52,52,0.08236571401357651,-0.29235830903053284,0.1516968160867691,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.052411679178476334
0,53,53,0.08248982578516006,-0.29302361607551575,0.15190741419792175,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05281531810760498
0,54,54,0.08259230852127075,-0.2936317026615143,0.1521104872226715,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05319484323263168
0,55,55,0.08267726749181747,-0.29418647289276123,0.15230630338191986,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.053549181669950485
0,56,56,0.08274727314710617,-0.2946923077106476,0.15249618887901306,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05387876182794571
0,57,57,0.08280497789382935,-0.29515349864959717,0.15267974138259888,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.0541844479739666
0,58,58,0.08285243809223175,-0.2955740690231323,0.15285715460777283,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05446738749742508
0,59,59,0.08289124071598053,-0.29595842957496643,0.15302807092666626,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05472956970334053
0,60,60,0.08292356133460999,-0.29630985856056213,0.15319223701953888,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.054971858859062195
0,61,61,0.08295018970966339,-0.29663172364234924,0.15334975719451904,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.055196065455675125
0,62,62,0.0829722061753273,-0.296927273273468,0.15350022912025452,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05540388822555542
0,63,63,0.0829906314611435,-0.29719895124435425,0.15364356338977814,0.1147996261715889,-0.25207456946372986,0.16019657254219055,0.05559643730521202
